Games,Basement,Level One,The Loft,Bilingual,Back-up?,Pieces,Category,Hidden,Notes,URL
Call to Adventure: Epic Origins,-,-,Vestibule,,,,Strategy,,,https://boardgamegeek.com/boardgame/351077/call-to-adventure-epic-origins
Camel Up,DD,5D,M2,(En/Fr),,Y,Light Strategy,,,https://boardgamegeek.com/boardgame/153938/camel-up
Camel Up Cards,,-,Loft SG - 88,(En/Fr),,Y,Light Strategy,,,https://boardgamegeek.com/boardgame/192947/camel-cards
Camel Up: Off Season,,-,Vestibule,(En/Fr),,,Light Strategy,,,https://boardgamegeek.com/boardgame/335271/camel-season
Camille's Market,,-,Loft SG - 87,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/344527/camilles-market
Canasta Deluxe,,-,Loft SG - 81,,,,Family,,,https://boardgamegeek.com/boardgame/17104/canasta
Candy Land,,4E,K4,(En/Fr),,Y,Family,,,https://boardgamegeek.com/boardgame/5048/candy-land
Canvas,,5D,-,(En/Fr),,,Light Strategy,,,https://boardgamegeek.com/boardgame/290236/canvas
Cappucino,,-,N3,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/146818/cappuccino
Captain Carcass,,Overflow,Overflow,,,,LIght Strategy,,,https://boardgamegeek.com/boardgame/149155/dead-mans-draw
Captain Flip,,5B,-,(En/Fr),,,Light Strategy,,,https://boardgamegeek.com/boardgame/393325/captain-flip
"Captain is Dead, The",,-,H1,,,,Cooperative,,,https://boardgamegeek.com/boardgame/159503/the-captain-is-dead
Captain Obvious,-,-,B1,,,,Party,,,https://boardgamegeek.com/boardgame/423533/captain-obvious
Captain Sonar,,5D,-,(En/Fr),,,Light Strategy,,,https://boardgamegeek.com/boardgame/171131/captain-sonar
Caravan,,-,N4,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/269789/caravan
Carcassonne,DD,8F,M1,(En/Fr),Y,Y,Strategy,,,https://boardgamegeek.com/boardgame/822/carcassonne
Carcassonne: Gold Rush,,-,M1,,,,Strategy,,,https://boardgamegeek.com/boardgame/163370/carcassonne-gold-rush
Carcassonne: South Seas,,-,M1,,,,Strategy,,,https://boardgamegeek.com/boardgame/147303/carcassonne-south-seas
Cardline: Animals ,-,Lvl1 SG - 55,-,,,,Trivia,,,https://boardgamegeek.com/boardgame/130882/cardline-animals
Cardline: Dinosaurs,Overflow,Overflow,Overflow,,,,Trivia,,,https://boardgamegeek.com/boardgame/163277/cardline-dinosaurs
Cardline: Globetrotter,Overflow,Overflow,Overflow,,,,Trivia,,,https://boardgamegeek.com/boardgame/145014/cardline-globetrotter
